"","province","location","year","latinName","commonName","counts","catched","adult","pulli","not_catched"
"250","Antwerpen","Dessel",2015,"Branta canadensis","Canadese gans",0,NA,NA,NA,NA
"251","Antwerpen","Dessel",2015,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"252","Antwerpen","Dessel",2015,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"253","Antwerpen","Dessel",2015,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"254","Antwerpen","Dessel",2016,"Alopochen aegyptiacus","Nijlgans",15,NA,NA,NA,NA
"255","Antwerpen","Dessel",2016,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"256","Antwerpen","Dessel",2016,"Anser anser","Grauwe gans",14,NA,NA,NA,NA
"257","Antwerpen","Dessel",2016,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"258","Antwerpen","Dessel",2016,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"259","Antwerpen","Dessel",2016,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"260","Antwerpen","Dessel",2016,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"261","Antwerpen","Dessel",2016,"Anser indicus","Indische gans",0,NA,NA,NA,NA
"262","Antwerpen","Dessel",2016,"Branta canadensis","Canadese gans",49,NA,NA,NA,NA
"263","Antwerpen","Dessel",2016,"Branta leucopsis","Brandgans",0,NA,NA,NA,NA
"264","Antwerpen","Dessel",2016,"Branta ruficollis","Roodhalsgans",0,NA,NA,NA,NA
"265","Antwerpen","Dessel",2016,"Chloephaga picta","Magelhaengans",0,NA,NA,NA,NA
"266","Antwerpen","Dessel",2017,"Alopochen aegyptiacus","Nijlgans",32,NA,NA,NA,NA
"267","Antwerpen","Dessel",2017,"Anser albifrons","Kolgans",0,NA,NA,NA,NA
"268","Antwerpen","Dessel",2017,"Anser anser","Grauwe gans",92,19,15,4,0
"269","Antwerpen","Dessel",2017,"Anser anser forma domesticus","Soepgans",0,NA,NA,NA,NA
"270","Antwerpen","Dessel",2017,"Anser brachyrhynchus","Kleine rietgans",0,NA,NA,NA,NA
"271","Antwerpen","Dessel",2017,"Anser cygnoides forma domestica","Zwaangans",0,NA,NA,NA,NA
"272","Antwerpen","Dessel",2017,"Anser erythropus","Dwerggans",0,NA,NA,NA,NA
"273","Antwerpen","Dessel",2017,"Anser indicus","Indische gans",0,NA,NA,NA,NA
